Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source
2021-01-01 00:00:00,France,France,FR,56.15,79.45,88.47,23.27,opendata.reseaux-energies.fr
2021-02-01 00:00:00,France,France,FR,40.64,62.1,90.71,27.39,opendata.reseaux-energies.fr
2021-03-01 00:00:00,France,France,FR,41.07,62.84,90.59,24.45,opendata.reseaux-energies.fr
2021-04-01 00:00:00,France,France,FR,43.15,65.77,90.7,23.84,opendata.reseaux-energies.fr
2021-05-01 00:00:00,France,France,FR,15.87,32.1,96.55,30.11,opendata.reseaux-energies.fr
2021-06-01 00:00:00,France,France,FR,17.55,33.88,95.93,25.36,opendata.reseaux-energies.fr
2021-07-01 00:00:00,France,France,FR,17.1,34.14,96.03,25.95,opendata.reseaux-energies.fr
2021-08-01 00:00:00,France,France,FR,10.78,25.47,97.72,23.0,opendata.reseaux-energies.fr
2021-09-01 00:00:00,France,France,FR,29.46,47.36,94.29,19.1,opendata.reseaux-energies.fr
2021-10-01 00:00:00,France,France,FR,33.79,52.27,93.54,20.57,Electricity Maps Estimation; opendata.reseaux-energies.fr
2021-11-01 00:00:00,France,France,FR,68.29,95.99,85.35,19.69,opendata.reseaux-energies.fr
2021-12-01 00:00:00,France,France,FR,65.44,92.3,86.06,23.74,opendata.reseaux-energies.fr
2022-01-01 00:00:00,France,France,FR,64.93,91.3,86.36,21.16,opendata.reseaux-energies.fr
2022-02-01 00:00:00,France,France,FR,49.41,72.98,89.47,25.51,opendata.reseaux-energies.fr
2022-03-01 00:00:00,France,France,FR,67.37,95.86,86.01,25.16,opendata.reseaux-energies.fr
2022-04-01 00:00:00,France,France,FR,51.64,78.43,88.71,32.19,opendata.reseaux-energies.fr
2022-05-01 00:00:00,France,France,FR,44.3,71.13,89.55,31.5,opendata.reseaux-energies.fr; Electricity Maps Estimation
2022-06-01 00:00:00,France,France,FR,56.6,83.27,87.5,23.58,Electricity Maps Estimation
2022-07-01 00:00:00,France,France,FR,70.23,101.7,84.89,27.59,opendata.reseaux-energies.fr; Electricity Maps Estimation
2022-08-01 00:00:00,France,France,FR,67.56,98.29,85.57,28.62,opendata.reseaux-energies.fr; Electricity Maps Estimation
2022-09-01 00:00:00,France,France,FR,70.04,102.23,84.71,27.58,opendata.reseaux-energies.fr
2022-10-01 00:00:00,France,France,FR,62.31,90.94,85.66,27.52,opendata.reseaux-energies.fr; Electricity Maps Estimation
2022-11-01 00:00:00,France,France,FR,67.81,96.54,85.11,29.5,opendata.reseaux-energies.fr
2022-12-01 00:00:00,France,France,FR,82.62,111.37,84.18,25.24,opendata.reseaux-energies.fr
2023-01-01 00:00:00,France,France,FR,53.23,75.64,88.88,28.11,Electricity Maps Estimation; opendata.reseaux-energies.fr
2023-02-01 00:00:00,France,France,FR,64.94,90.68,86.06,21.27,opendata.reseaux-energies.fr
2023-03-01 00:00:00,France,France,FR,52.17,76.1,88.89,29.99,opendata.reseaux-energies.fr
2023-04-01 00:00:00,France,France,FR,27.95,46.39,93.93,29.44,opendata.reseaux-energies.fr
2023-05-01 00:00:00,France,France,FR,16.18,31.95,96.4,31.19,opendata.reseaux-energies.fr
2023-06-01 00:00:00,France,France,FR,24.11,42.24,94.41,31.35,opendata.reseaux-energies.fr
2023-07-01 00:00:00,France,France,FR,24.48,42.93,94.28,29.28,opendata.reseaux-energies.fr
2023-08-01 00:00:00,France,France,FR,24.34,42.42,94.5,27.49,opendata.reseaux-energies.fr
2023-09-01 00:00:00,France,France,FR,17.96,33.68,95.91,23.49,opendata.reseaux-energies.fr
2023-10-01 00:00:00,France,France,FR,17.01,31.96,96.17,25.69,Electricity Maps Estimation; opendata.reseaux-energies.fr
2023-11-01 00:00:00,France,France,FR,30.05,47.98,93.1,31.66,opendata.reseaux-energies.fr
2023-12-01 00:00:00,France,France,FR,29.56,46.76,93.18,30.31,entsoe.eu; opendata.reseaux-energies.fr
2024-01-01 00:00:00,France,France,FR,34.75,52.6,92.06,26.51,opendata.reseaux-energies.fr; entsoe.eu
2024-02-01 00:00:00,France,France,FR,27.05,43.53,93.98,29.27,opendata.reseaux-energies.fr; entsoe.eu
2024-03-01 00:00:00,France,France,FR,24.63,41.6,94.3,30.98,opendata.reseaux-energies.fr; Electricity Maps Estimation; entsoe.eu
2024-04-01 00:00:00,France,France,FR,10.65,24.15,97.85,33.28,opendata.reseaux-energies.fr; entsoe.eu
2024-05-01 00:00:00,France,France,FR,7.09,19.05,98.69,31.88,opendata.reseaux-energies.fr; entsoe.eu
2024-06-01 00:00:00,France,France,FR,7.41,19.64,98.57,31.04,entsoe.eu
2024-07-01 00:00:00,France,France,FR,8.91,22.11,98.19,28.96,opendata.reseaux-energies.fr; entsoe.eu
2024-08-01 00:00:00,France,France,FR,9.24,23.24,98.05,26.52,opendata.reseaux-energies.fr
2024-09-01 00:00:00,France,France,FR,11.52,25.36,97.73,27.87,opendata.reseaux-energies.fr
2024-10-01 00:00:00,France,France,FR,9.74,22.78,98.06,28.36,opendata.reseaux-energies.fr; Electricity Maps Estimation
2024-11-01 00:00:00,France,France,FR,28.35,45.6,93.61,23.57,opendata.reseaux-energies.fr
2024-12-01 00:00:00,France,France,FR,25.06,41.19,94.38,25.69,opendata.reseaux-energies.fr
